Service name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2016-17 Australian Government Funding
St Lukes Community Care EACH,18 Roslyn Street,,POTTS POINT,NSW,2011,South East Sydney,Home Care,,,,St Luke's Care,Religious,Major Cities of Australia,-33.874564,151.225602," $969,759 "
St Simeon Village Community Services,261 Hyatts Road,,ROOTY HILL,NSW,2766,Western Sydney,Home Care,,,,Serbian Orthodox Diocese Aged Care and Education Property Fund,Charitable,Major Cities of Australia,-33.75107646,150.8333942," $250,613 "
KinCare - Mid North Coast - home care packages,4 Hayward Street,,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-31.43360186,152.9093471," $143,136 "
KinCare - Mid North Coast - home care packages,4 Hayward Street,,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-31.43360186,152.9093471," $469,759 "
KinCare - Mid North Coast - home care packages,4 Hayward Street,,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-31.43360186,152.9093471," $432,915 "
KinCare - Nepean - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895," $191,514 "
KinCare - Nepean - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895," $239,109 "
KinCare - Nepean - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895," $85,553 "
KinCare - Northern Sydney - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895," $137,770 "
KinCare - Western Sydney - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895," $451,376 "
KinCare - Western Sydney - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895," $75,398 "
Anglican Care Home Care Taree,The Storm Retirement Village,109 Cowper Street,TAREE,NSW,2430,Mid North Coast,Home Care,,,,Anglican Care,Charitable,Inner Regional Australia,-31.8979741,152.4723242," $1,025,974 "
Sue Mann's Community Care - Central Coast,"Level 3, Platinum Building",4 Ilya Avenue,ERINA,NSW,2250,Central Coast,Home Care,,,,Sarmace Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.43968224,151.3834845," $2,049,134 "
Sue Mann's Community Care - Hunter,"Level 3, Platinum Building",4 Ilya Avenue,ERINA,NSW,2250,Central Coast,Home Care,,,,Sarmace Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.43968224,151.3834845," $1,073,533 "
Sue Mann's Community Care EACH - Central Coast,"Level 3, Platinum Building",4 Ilya Avenue,ERINA,NSW,2250,Central Coast,Home Care,,,,Sarmace Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.43968224,151.3834845," $2,998,074 "
Sue Mann's Community Care EACH - Hunter,"Level 3, Platinum Building",4 Ilya Avenue,ERINA,NSW,2250,Central Coast,Home Care,,,,Sarmace Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.43968224,151.3834845," $2,352,147 "
Sue Mann's Community Care EACH Dementia - Central Coast,"Level 3, Platinum Building",4 Ilya Avenue,ERINA,NSW,2250,Central Coast,Home Care,,,,Sarmace Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.43968224,151.3834845," $1,061,368 "
Sydney Region - EACH Program,1 Glover Street,,LILYFIELD,NSW,2040,Inner West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.87138556,151.1578273," $925,047 "
Sydney Region EACH Dementia Program,1 Glover Street,,LILYFIELD,NSW,2040,Inner West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.87138556,151.1578273," $711,416 "
SydWest Multicultural Services Inc CALDACS,"Suite 2, Flr G, 125 Main Street",,BLACKTOWN,NSW,2148,Western Sydney,Home Care,,,,SydWest Multicultural Services Limited,Community Based,Major Cities of Australia,-33.7714864,150.9120847," $1,847,808 "
Tablelands Community Options,Hill Street,,URALLA,NSW,2358,New England,Home Care,,,,Council of the Shire of Uralla,Local Government,Outer Regional Australia,-30.64442,151.503924," $278,816 "
Tablelands Community Options (Mainstream),Hill Street,,URALLA,NSW,2358,New England,Home Care,,,,Council of the Shire of Uralla,Local Government,Outer Regional Australia,-30.64442,151.503924," $864,608 "
The Forrest Centre CACP (Tumut),80 Capper Street,,TUMUT,NSW,2720,Riverina/Murray,Home Care,,,,The Mary Potter Nursing Home and The Ethel Forrest Day Care Centre Pty Ltd,Religious,Inner Regional Australia,-35.30166432,148.2204338," $246,762 "
The Forrest Centre CACP (Wagga Wagga),13 Meurant Avenue,,WAGGA WAGGA,NSW,2650,Riverina/Murray,Home Care,,,,The Mary Potter Nursing Home and The Ethel Forrest Day Care Centre Pty Ltd,Religious,Inner Regional Australia,-35.11996397,147.3537596," $576,321 "
The Forrest Centre EACH (Wagga Wagga),13 Meurant Avenue,,WAGGA WAGGA,NSW,2650,Riverina/Murray,Home Care,,,,The Mary Potter Nursing Home and The Ethel Forrest Day Care Centre Pty Ltd,Religious,Inner Regional Australia,-35.11996397,147.3537596," $978,842 "
The Hammond Care Group EACH Program,"Level 1, 11-23 Judd Avenue",,HAMMONDVILLE,NSW,2170,South West Sydney,Home Care,,,,HammondCare,Charitable,Major Cities of Australia,-33.95051756,150.9587803," $3,442,696 "
The Haven Home Care Packages,156 Bourke Street,,WAGGA WAGGA,NSW,2650,Riverina/Murray,Home Care,,,,The Haven Community Limited,Charitable,Inner Regional Australia,-35.136967,147.351816," $188,192 "
Home Nursing Group Home Care Package Service No 1,117 Faulkner Street,,ARMIDALE,NSW,2350,New England,Home Care,,,,Parkside Care Pty Ltd ATF Community Care Unit Trust No. 1,Private Incorporated Body,Inner Regional Australia,-30.51450569,151.6672812," $264,379 "
Home Nursing Group Home Care Package Service No 2,117 Faulkner Street,,ARMIDALE,NSW,2350,New England,Home Care,,,,Parkside Care Pty Ltd ATF Community Care Unit Trust No. 1,Private Incorporated Body,Inner Regional Australia,-30.51450569,151.6672812," $1,278,239 "
The Whiddon Group Far North Coast,Summerland Way,,KYOGLE,NSW,2474,Far North Coast,Home Care,,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-28.637812,153.001335," $296,559 "
The Whiddon Group Far North Coast (Grafton),125 Crown Street,,GRAFTON,NSW,2460,Far North Coast,Home Care,,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-29.67613866,152.9454931," $249,215 "
The Whiddon Group Far North Coast (Tweed Heads),139 Minjungbal Drive,,TWEED HEADS SOUTH,NSW,2486,Far North Coast,Home Care,,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,-28.20369586,153.5438967," $1,802,903 "
The Whiddon Group Hunter (Redhead),120  REDHEAD ROAD,,REDHEAD,NSW,2290,Hunter,Home Care,,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,-33.00885342,151.7108687," $960,348 "
The Whiddon Group Mid North Coast (Wingham),12 Primrose Street,,WINGHAM,NSW,2429,Mid North Coast,Home Care,,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-31.86920075,152.3707146," $146,376 "
The Whiddon Group New England,Cameron Street,,NARRABRI,NSW,2390,New England,Home Care,,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,-30.32574616,149.7768136," $494,238 "
The Whiddon Group South West Sydney (Glenfield),81 Belmont Road,,GLENFIELD,NSW,2167,South West Sydney,Home Care,,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,-33.97702387,150.9002088," $353,954 "
Thomas Holt Home Care Package CDC,"Shop 1, 728 Old Princes Highway",,SUTHERLAND,NSW,2232,South East Sydney,Home Care,,,,Thomas Holt,Community Based,Major Cities of Australia,-34.030634,151.058752," $292,678 "
Tripoli And Mena CACPs,48-50 Taylor Street,,LAKEMBA,NSW,2195,Inner West,Home Care,,,,Tripoli And Mena Association Limited,Community Based,Major Cities of Australia,-33.91978472,151.0817641," $1,321,909 "
Twofold Aboriginal Corporation,"Jigamy Farm, Princess Highway",,EDEN,NSW,2551,Southern Highlands,Home Care,,,,Twofold Aboriginal Corporation,Community Based,Outer Regional Australia,-36.97957903,149.8928643," $170,363 "
Uniting Care - Shoalhaven,37 Berry Street,,NOWRA,NSW,2541,Illawarra,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-34.8802749,150.5994037," $255,127 "
Uniting Care- Caroona,43 Phillip Street,,GOONELLABAH,NSW,2480,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-28.82586195,153.323381," $657,574 "
Uniting Church In Australia - Nareen Gardens,3-5 Farrar Road,,KILLARNEY VALE,NSW,2261,Central Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.36621599,151.461319," $1,643,463 "
Uniting Church In Australia Property Trust (NSW) Singleton,128 Blaxland Avenue,,SINGLETON,NSW,2330,Hunter,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-32.54841,151.166802," $331,799 "
Uniting Community Care Riverina (Wagga Wagga),10 Tanda Place,,GLENFIELD PARK,NSW,2650,Riverina/Murray,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-35.13711425,147.3337885," $1,882,775 "
Uniting to Care - EACH,3-5 Farrar Road,,KILLARNEY VALE,NSW,2261,Central Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.36621599,151.461319," $725,284 "
Uniting to Care - EACHD,3-5 Farrar Road,,KILLARNEY VALE,NSW,2261,Central Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.36621599,151.461319," $105,858 "
UnitingCare Ageing - North Coast Region - Caroona Community Services,43 Phillip Street,,GOONELLABAH,NSW,2480,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-28.82586195,153.323381," $457,785 "
UnitingCare Ageing - North Coast Region - Port Macquarie,436 Oxley Highway,,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-31.44889333,152.8775362," $413,416 "
UnitingCare Ageing - North Coast Region - Port Macquarie EACH,436 Oxley Highway,,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-31.44889333,152.8775362," $1,250,553 "
UnitingCare Ageing - North Coast Region - Yamba,4 Freeburn Street,,YAMBA,NSW,2464,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-29.43764173,153.3462784," $615,487 "
UnitingCare Ageing - North Coast Region Nambucca Community Services EACHD,"Shop 5a, Nambucca Plaza",10 Pacific Highway,NAMBUCCA HEADS,NSW,2448,Mid North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Outer Regional Australia,-30.64397556,152.9949194," $223,017 "
UnitingCare Ageing - North Coast Region Nambucca EACH,"Shop 5a, Nambucca Plaza",10 Pacific Highway,NAMBUCCA HEADS,NSW,2448,Mid North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Outer Regional Australia,-30.64397556,152.9949194," $239,151 "
UnitingCare Ageing - North Coast Region Nambucca Heads CACPs,"Shop 5a, Nambucca Plaza",10 Pacific Highway,NAMBUCCA HEADS,NSW,2448,Mid North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Outer Regional Australia,-30.64397556,152.9949194," $533,371 "
UnitingCare Ageing - North Coast Region Tweed Community Services - EACH,"Suite 5, 34 Oyster Point Road",,BANORA POINT,NSW,2486,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-28.21552411,153.552206," $2,260,242 "
UnitingCare Ageing - North Coast Region Tweed Community Services - EACHD,"Suite 5, 34 Oyster Point Road",,BANORA POINT,NSW,2486,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-28.21552411,153.552206," $727,770 "
UnitingCare Ageing - Sydney Region - Homeless,1 Glover Street,,LILYFIELD,NSW,2040,Inner West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.87138556,151.1578273," $248,758 "
UnitingCare Ageing - Sydney Region - Housing Linked,1 Glover Street,,LILYFIELD,NSW,2040,Inner West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.87138556,151.1578273," $669,431 "
UnitingCare Ageing - Sydney Region - Inner West,1 Glover Street,,LILYFIELD,NSW,2040,Inner West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.87138556,151.1578273," $1,971,925 "
UnitingCare Ageing - Sydney Region - NESB,1 Glover Street,,LILYFIELD,NSW,2040,Inner West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.87138556,151.1578273," $527,364 "
UnitingCare Ageing - Tweed Community Services,"Suite 5, 34 Oyster Point Road",,BANORA POINT,NSW,2486,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-28.21552411,153.552206," $216,545 "
UnitingCare Ageing Hunter Community Care - EACH,30 Barber Street,,MAYFIELD,NSW,2304,Hunter,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-32.89677163,151.7404831," $2,466,768 "
UnitingCare Ageing Hunter Community Care - EACHD,128 Blaxland Avenue,,SINGLETON,NSW,2330,Hunter,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-32.54841,151.166802," $125,715 "
UnitingCare Ageing Illawarra,"Unit 2, 105 Shellharbour Road",,WARILLA,NSW,2528,Illawarra,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-34.55144264,150.8606323," $1,540,037 "
UnitingCare Ageing Macarthur Community Care,58-60 Menangle Street,,PICTON,NSW,2571,South West Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-34.16984532,150.6125938," $559,804 "
UnitingCare Ageing Nepean Community Care,4 Lewin Street,,SPRINGWOOD,NSW,2777,Nepean,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.69642844,150.5538576," $1,542,084 "
UnitingCare Ageing Nepean Community Services,4 Lewin Street,,SPRINGWOOD,NSW,2777,Nepean,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.69642844,150.5538576," $481,636 "
UnitingCare Ageing Nepean Community Services - Dementia,4 Lewin Street,,SPRINGWOOD,NSW,2777,Nepean,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.69642844,150.5538576," $576,883 "
UnitingCare Ageing New England - St Andrew's Retirement Village - EACHD,Tribe Street,,TAMWORTH,NSW,2340,New England,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-31.07208,150.918624," $357,424 "
UnitingCare Ageing New England - St Andrew's Retirement Village EACH,Tribe Street,,TAMWORTH,NSW,2340,New England,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-31.07208,150.918624," $2,039,309 "
UnitingCare Ageing North Coast Region - Caroona Community Program - EACHD,43 Phillip Street,,GOONELLABAH,NSW,2480,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-28.82586195,153.323381," $157,453 "
UnitingCare Ageing North Coast Region - Kempsey Community Program - EACH,2 Clarence Street,,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-31.4292233,152.9127986," $266,429 "
UnitingCare Ageing North Coast Region - Kempsey Community Program - EACHD,2 Clarence Street,,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-31.4292233,152.9127986," $378,538 "
UnitingCare Ageing Northern Sydney Region Community Care - EACH,2 Chapman Avenue,,CHATSWOOD,NSW,2067,Northern Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.80106,151.181777," $2,529,721 "
